name,value
1Ο ΝΕΚΡΟΤΑΦΕΙΟ,1
ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,2
ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,3
ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,4
ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,5
ΑΚΡΟΠΟΛΗ,6
ΑΜΠΕΛΟΚΗΠΟΙ,7
ΑΝΩ ΚΥΨΕΛΗ,8
ΑΝΩ ΠΑΤΗΣΙΑ,9
ΒΟΤΑΝΙΚΟΣ,10
ΓΚΑΖΙ,11
ΓΚΥΖΗ,12
ΓΟΥΒΑ,13
ΓΟΥΔΙ,14
ΕΛΛΗΝΟΡΩΣΩΝ,15
ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,16
ΖΑΠΠΕΙΟ,17
ΘΗΣΕΙΟ,18
ΙΛΙΣΙΑ,19
ΚΕΡΑΜΕΙΚΟΣ,20
ΚΟΛΟΚΥΝΘΟΥ,21
ΚΟΛΩΝΑΚΙ,22
ΚΟΛΩΝΟΣ,23
ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,24
ΚΥΨΕΛΗ,25
ΛΥΚΑΒΗΤΤΟΣ,26
ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,27
ΝΕΑ ΚΥΨΕΛΗ,28
ΝΕΟΣ ΚΟΣΜΟΣ,29
ΝΙΡΒΑΝΑ,30
ΠΑΓΚΡΑΤΙ,31
ΠΑΤΗΣΙΑ,32
ΠΕΔΙΟ ΑΡΕΩΣ,33
ΠΕΝΤΑΓΩΝΟ,34
ΠΕΤΡΑΛΩΝΑ,35
ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ,36
ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37
ΠΟΛΥΓΩΝΟ,38
ΠΡΟΜΠΟΝΑ,39
ΡΗΓΙΛΛΗΣ,40
ΡΙΖΟΥΠΟΛΗ,41
ΡΟΥΦ,42
ΣΕΠΟΛΙΑ,43
ΣΤΑΔΙΟ,44
ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ,45
Barstraße,1
Charlottenburg Nord,1
Düsseldorfer Straße,1
Forst Grunewald,1
Grunewald,1
Halensee,1
Heerstrasse,1
Kantstraße,1
Kurfürstendamm,1
Mierendorffplatz,1
Neue Kantstraße,1
Otto-Suhr-Allee,1
Schloß Charlottenburg,1
Schmargendorf,1
Volkspark Wilmersdorf,1
Westend,1
Wiesbadener Straße,1
Frankfurter Allee Nord,2
Frankfurter Allee Süd FK,2
Karl-Marx-Allee-Nord,2
Karl-Marx-Allee-Süd,2
nördliche Luisenstadt,2
Südliche Friedrichstadt,2
südliche Luisenstadt,2
Tempelhofer Vorstadt,2
Alt-Hohenschönhausen Nord,3
Alt-Hohenschönhausen Süd,3
Alt-Lichtenberg,3
Fennpfuhl,3
Frankfurter Allee Süd,3
Friedrichsfelde Nord,3
Friedrichsfelde Süd,3
Karlshorst,3
"Malchow, Wartenberg und Falkenberg",3
Neu-Hohenschönhausen Nord,3
Neu-Hohenschönhausen Süd,3
Neu Lichtenberg,3
Rummelsburger Bucht,3
Biesdorf,4
Hellersdorf-Nord,4
Hellersdorf-Ost,4
Hellersdorf-Süd,4
Kaulsdorf,4
Mahlsdorf,4
Marzahn-Mitte,4
Marzahn-Nord,4
Marzahn-Süd,4
Alexanderplatz,5
Brunnenstr. Nord,5
Brunnenstr. Süd,5
Moabit Ost,5
Moabit West,5
Osloer Straße,5
Parkviertel,5
Regierungsviertel,5
Tiergarten Süd,5
Wedding Zentrum,5
Britz,6
Buckow,6
Buckow Nord,6
Gropiusstadt,6
Köllnische Heide,6
